Nationality;Discipline;Last Name;First Name;Age
NZL;FBL;RENNIE;GABRIELLE;24
NZL;RU7;SAILI;ALENA;27
PAN;GAR;HERON;HILLARY;21
PHI;BOX;BACYADAN;HERGIE;31
POL;ARC;MYSZOR;WIOLETA;42
POL;ATH;CHOJECKA;OLGA;28
POL;ATH;KACZMAREK;NATALIA;27
POL;ATH;KROLIK;KINGA;26
POL;CTR;PIKULIK;WIKTORIA;27
POL;EQU;MILCZAREK;KATARZYNA;60
POL;JUD;SZYMANSKA;ANGELIKA;26
ALB;SHO;KONINI;MANJOLA;50
ARG;FBL;RULLI;GERONIMO;33
ARG;RU7;ALVAREZ;SANTIAGO;31
BRA;TEN;MONTEIRO;THIAGO;31
BUL;ATH;MITKOVA;PLAMENA;21
BUL;SWM;MILADINOV;JOSIF;22
BUL;WRE;RAMAZANOV;MAGOMED ELDAROVITCH;32
CAN;CTR;GENEST;LAURIANE;27
CAN;FBL;ZADORSKY;SHELINA;33
CAN;FEN;XIAO;RUIEN;18
CAN;JUD;ELNAHAS;SHADY;27
CAN;JUD;DEGUCHI;CHRISTA;30
CAN;ROW;PAYNE;SYDNEY;28
CAN;SWA;LAMOTHE;AUDREY;20
CAN;SWM;MCINTOSH;SUMMER;19
CAN;SWM;PICKREM;SYDNEY;28
CAN;VBV;DEARING;DANIEL;35
CHN;SWM;QIN;HAIYANG;26
CHN;SWM;SUN;JIAJUN;25
CHN;SWM;LI;BINGJIE;23
CHN;VBV;XUE;CHEN;36
COL;ATH;HERRERA;CESAR;26
COL;JUD;LASSO;ERIKA;26
CRO;HBL;MIHIC;LOVRO;31
CUB;ATH;MARTINEZ;LAZARO;28
CUB;SHO;PUPO;LEURIS;48
GER;ATH;GUERTH;OLIVIA;23
GER;CSP;HECKER;TIM;28
GER;CSP;LIEBSCHER-LUCZ;TOM;32
GER;CTR;KLUGE;ROGER;39
GER;CTR;FRIEDRICH;LEA SOPHIE;25
GER;EQU;WERTH;ISABELL;56
GER;FBL;NUESKEN;SJOEKE;24
GER;HBL;WACHTER;SARAH;26
GER;HOC;GRAMBUSCH;TOM;30
GER;HOC;RUEHR;CHRISTOPHER;32
GER;HOC;WIEDERMANN;FELICIA;23
GER;JUD;ABRAMOV;ERIK;26
GER;SAL;MAUS;JANNIS;29
GER;TEN;KERBER;ANGELIQUE;37
GER;VBV;EHLERS;NILS;31
GER;VBV;LIPPMANN;LOUISA;31
GER;VBV;TILLMANN;CINJA;34
GHA;ATH;AMOAH;JOSEPH PAUL;28
GRE;BKB;ANTETOKOUNMPO;GIANNIS;31
GRE;BKB;LARENTZAKIS;GIANNOULIS;32
GRN;ATH;JAMES;KIRANI;33
HKG;TTE;DOO;HOI KEM;29
HON;WRE;MEJIA CASTILLO;KEVIN;30
HUN;ATH;HELEBRANDT;MATE;36
HUN;CSP;VARGA;ADAM;26
HUN;FEN;SZUCS;LUCA VIRAG;23
HUN;HBL;ILIC;ZORAN;24
HUN;HBL;LEKAI;MATE;37
HUN;HBL;KLUJBER;KATRIN;26
HUN;JUD;TOTH;KRISZTIAN;31
HUN;SHO;MESZAROS;ESZTER;23
HUN;SWM;JASZO;ADAM;23
HUN;SWM;JACKL;VIVIEN;17
HUN;WPO;BANYAI;MARK ATTILA;26
INA;ARC;CHOIRUNISA;DIANANDA;28
INA;SRF;WAIDA;RIO;25
IND;ATH;ALDRIN;JESWIN;24
IND;HOC;SUMIT;SUMIT;29
IND;SHO;SIDHU;VIJAYVEER;23
IND;SHO;MOUDGIL;ANJUM;32
IND;WRE;ANTIM;ANTIM;21
IRI;ARC;FALLAH;MOBINA;26
IRI;WRE;SARLAK;ALIREZA;28
IRL;ATH;CADDEN;LAUREN;25
IRL;DIV;MCGING;CIARA;24
IRL;SWM;WIFFEN;DANIEL;24
IRL;TKW;WOOLLEY;JACK;27
IRQ;FBL;AHMED HASAN;;24
IRQ;FBL;JOSEF AL IMAM;;21
ISR;FBL;FEINGOLD;ILAY;21
ISR;FBL;NIR ON;OMER;24
ISR;JUD;BUTBUL;TOHAR;31
ISR;JUD;SHARIR;GILI;26
ISR;SAL;HASSON;NITAI;27
ITA;ATH;MOLINAROLO;ELISA;31
ITA;BKG;ANTI;;28
ITA;BOX;LENZI;DIEGO;24
ITA;CRD;LONGO BORGHINI;ELISA;34
ITA;CSL;BERTONCELLI;MARTA;24
ITA;FEN;RIZZI;GIULIA;36
ITA;JUD;TAVANO;ASYA;23
